ISSID,Municipality_metro,TownCity_Name,Coordinates,Start_Date,End_Date
466,Limpopo - Vhembe,Thohoyandou,"-22.94927,30.482677",08/11/2013 00:00,08/13/2013 12:00:00 AM
602,KwaZulu Natal - Ulundi,Ulundi,"-28.315867,31.417094",08/11/2013 00:00,08/11/2013 00:00
392,KwaZulu Natal - eThekwini,Durban,"-29.155952,31.412265",08/12/2013 00:00,08/12/2013 00:00
393,KwaZulu Natal - eThekwini,Durban,"-29.423746,31.234012",08/12/2013 00:00,08/13/2013 12:00:00 AM
390,Gauteng - City of Johannesburg,Johannesburg,"-26.312878,27.830357",08/13/2013 12:00:00 AM,08/13/2013 12:00:00 AM
546,Limpopo - Thulamela,Thohoyandou,"-23.005844,30.404359",08/13/2013 12:00:00 AM,08/13/2013 12:00:00 AM
394,Gauteng - City of Tshwane,Pretoria,"-25.749161,28.18991",08/14/2013 12:00:00 AM,08/14/2013 12:00:00 AM
395,Gauteng - City of Tshwane,Pretoria,"-25.736793,28.32949",08/14/2013 12:00:00 AM,08/14/2013 12:00:00 AM
398,North West - Rustenburg,Rustenburg,"-25.684055,27.537876",08/14/2013 12:00:00 AM,08/14/2013 12:00:00 AM
399,Gauteng - Emfuleni,Vereeniging,"-26.729203,27.885895",08/14/2013 12:00:00 AM,08/14/2013 12:00:00 AM
400,Western Cape - City of Cape Town,Cape Town,"-34.029419,18.486801",08/14/2013 12:00:00 AM,08/14/2013 12:00:00 AM
397,Gauteng - Ekurhuleni,East Rand,"-26.372017,28.407512",08/15/2013 12:00:00 AM,08/15/2013 12:00:00 AM
597,Western Cape - City of Cape Town,Cape Town,"-33.994607,18.595095",08/15/2013 12:00:00 AM,08/15/2013 12:00:00 AM
607,Gauteng - Ekurhuleni,Nigel,"-26.420467,28.468639",08/15/2013 12:00:00 AM,08/15/2013 12:00:00 AM
407,Eastern Cape - Nelson Mandela Bay,Port Elizabeth,"-33.777517,25.417158",08/19/2013 12:00:00 AM,08/28/2013 12:00:00 AM
408,Gauteng - City of Tshwane,Pretoria,"-25.736892,28.329488",08/19/2013 12:00:00 AM,08/28/2013 12:00:00 AM
409,Northern Cape - Sol Plaatjie,Kimberley,"-28.754435,24.768948",08/20/2013 12:00:00 AM,08/20/2013 12:00:00 AM
412,Mpumalanga - Umjindi,Nelspruit,"-25.761166,31.03958",08/20/2013 12:00:00 AM,08/20/2013 12:00:00 AM
410,Gauteng - City of Johannesburg,Johannesburg,"-26.169857,27.845523",08/21/2013 12:00:00 AM,08/21/2013 12:00:00 AM
411,Gauteng - City of Johannesburg,Johannesburg,"-26.457974,27.856768",08/21/2013 12:00:00 AM,08/21/2013 12:00:00 AM
405,KwaZulu Natal - eThekwini,Durban,"-29.969658,30.853319",08/22/2013 12:00:00 AM,08/22/2013 12:00:00 AM
406,Gauteng - City of Johannesburg,Johannesburg,"-26.201445,28.033737",08/22/2013 12:00:00 AM,08/22/2013 12:00:00 AM
403,Western Cape - City of Cape Town,Cape Town,"-33.86636,18.499899",08/23/2013 12:00:00 AM,08/23/2013 12:00:00 AM
404,Western Cape - City of Cape Town,Cape Town,"-34.043191,18.655119",08/23/2013 12:00:00 AM,08/23/2013 12:00:00 AM
416,Western Cape - City of Cape Town,Cape Town,"-33.944289,18.524394",08/23/2013 12:00:00 AM,08/23/2013 12:00:00 AM
475,Western Cape - City of Cape Town,Cape Town,"-33.924656,18.420179",08/23/2013 12:00:00 AM,08/23/2013 12:00:00 AM
493,KwaZulu Natal - Emnambithi/Ladysmith,Ladysmith,"-28.594385,29.80302",08/23/2013 12:00:00 AM,08/23/2013 12:00:00 AM
417,Gauteng - City of Johannesburg,Johannesburg,"-26.184746,28.040573",08/24/2013 12:00:00 AM,08/24/2013 12:00:00 AM
418,Eastern Cape - Buffalo City,East London,"-32.956465,27.950555",08/24/2013 12:00:00 AM,08/24/2013 12:00:00 AM
413,Gauteng - Ekurhuleni,Johannesburg,"-26.217528,28.165139",08/26/2013 12:00:00 AM,08/26/2013 12:00:00 AM
414,Gauteng - Ekurhuleni,Johannesburg,"-26.135188,28.229137",08/26/2013 12:00:00 AM,08/28/2013 12:00:00 AM
426,Eastern Cape - Nelson Mandela Bay,Port Elizabeth,"-31.602024,28.750628",08/26/2013 12:00:00 AM,08/30/2013 12:00:00 AM
454,Eastern Cape - Nelson Mandela Bay,Port Elizabeth,"-33.917031,25.598464",08/26/2013 12:00:00 AM,08/27/2013 12:00:00 AM
455,Eastern Cape - Nelson Mandela Bay,Port Elizabeth,"-33.762846,25.393792",08/26/2013 12:00:00 AM,08/27/2013 12:00:00 AM
464,Eastern Cape - Nelson Mandela Bay,Port Elizabeth,"-33.922686,25.577148",08/26/2013 12:00:00 AM,09/06/2013 00:00
415,Gauteng - City of Johannesburg,Johannesburg,"-26.106386,28.051614",08/27/2013 12:00:00 AM,08/27/2013 12:00:00 AM
424,Gauteng - Mogale City,Johannesburg,"-26.087659,27.784283",08/27/2013 12:00:00 AM,08/27/2013 12:00:00 AM
